INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
202578454,09/18/2019,00:30:00,MANHATTAN,,28,0,,,false,,,,45-64,M,BLACK,997405.812500000000000,230838.468750000000000,40.800272690000043,-73.952484163999941,POINT (-73.95248416399994 40.80027269000004)
214947253,07/05/2020,20:35:00,BROOKLYN,,71,0,,GROCERY/BODEGA,false,,,,25-44,M,BLACK,998043.375000000000000,178813.000000000000000,40.657474542000045,-73.950287996999975,POINT (-73.95028799699998 40.657474542000045)
36091711,12/02/2007,04:00:00,BRONX,,44,0,,,false,UNKNOWN,M,BLACK,18-24,M,BLACK,1008653.000000000000000,241755.125000000000000,40.830211946000077,-73.911820941999963,POINT (-73.91182094199996 40.83021194600008)
93164816,10/19/2013,01:30:00,QUEENS,,101,0,,,false,,,,18-24,M,BLACK,1049611.000000000000000,156432.000000000000000,40.595813132000046,-73.764647603999947,POINT (-73.76464760399995 40.595813132000046)
55299656,12/30/2008,01:15:00,BROOKLYN,,84,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,989008.062500000000000,192549.609375000000000,40.695187906000058,-73.982842955999956,POINT (-73.98284295599996 40.69518790600006)
33108414,07/15/2007,21:44:00,MANHATTAN,,9,0,,,false,UNKNOWN,M,BLACK,18-24,M,WHITE HISPANIC,989632.375000000000000,202781.015625000000000,40.723270339000067,-73.980583387999957,POINT (-73.98058338799996 40.72327033900007)
176214209,03/22/2018,20:15:00,QUEENS,,110,0,,GROCERY/BODEGA,true,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1016282.000000000000000,211662.265625000000000,40.74759080900003,-73.884396996999953,POINT (-73.88439699699995 40.74759080900003)
64510360,08/08/2009,15:47:00,BROOKLYN,,61,0,,,false,25-44,M,WHITE,25-44,M,WHITE,1004466.250000000000000,152382.906250000000000,40.58491712700004,-73.927218119999964,POINT (-73.92721811999996 40.58491712700004)
84276862,04/18/2012,13:50:00,BROOKLYN,,60,0,,PVT HOUSE,true,65+,M,WHITE,65+,F,WHITE,982384.750000000000000,149312.125000000000000,40.576511292000077,-74.006715936999967,POINT (-74.00671593699997 40.57651129200008)
156690336,09/14/2016,02:24:00,QUEENS,,103,0,,MULTI DWELL - APT BUILD,false,18-24,M,WHITE HISPANIC,18-24,F,BLACK,1043344.312500000000000,193791.203125000000000,40.698399769000048,-73.786885505999976,POINT (-73.78688550599998 40.69839976900005)
156435308,09/03/2016,21:25:00,QUEENS,,103,0,,,true,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1036257.562500000000000,195395.250000000000000,40.702846979000071,-73.812430476999964,POINT (-73.81243047699996 40.70284697900007)
24717011,10/09/2006,15:45:00,BROOKLYN,,90,2,,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,M,BLACK,65+,M,WHITE HISPANIC,999940.562500000000000,195916.656250000000000,40.704417033000027,-73.943410420999953,POINT (-73.94341042099995 40.70441703300003)
141567321,03/23/2015,04:19:00,MANHATTAN,,34,0,,,false,,,,18-24,M,BLACK HISPANIC,1003202.000000000000000,249830.000000000000000,40.852388497000049,-73.931495362999954,POINT (-73.93149536299995 40.85238849700005)
221766737,12/12/2020,17:24:00,BROOKLYN,,66,0,,COMMERCIAL BLDG,false,,,,25-44,M,BLACK,992830.437500000000000,172564.140625000000000,40.640329360000067,-73.969084170999963,POINT (-73.96908417099996 40.64032936000007)
